Date,CO(Carbon Monoxide in mg / m3),CO
5/29/2015,1.4,1.2220635487326
5/30/2015,4.52,3.94551945733666
5/31/2015,2.84,2.47904319885755
6/1/2015,1.7,1.48393430917529
6/2/2015,1.77,1.54503748661192
6/3/2015,1.52,1.32681185290968
6/4/2015,1.4,1.2220635487326
6/5/2015,5.65,4.93189932167083
6/6/2015,1.78,1.55376651196001
6/7/2015,4.45,3.88441627990004
6/8/2015,3.93,3.43050696179936
6/9/2015,1.4,1.2220635487326
6/10/2015,1.96,1.71088896822563
6/11/2015,1.54,1.34426990360586
6/12/2015,1.89,1.649785790789
6/13/2015,3.21,2.80201713673688
6/14/2015,2.36,2.06004998214923
6/15/2015,1.56,1.36172795430204
6/16/2015,3.74,3.26465548018565
6/17/2015,2,1.74580506961799
6/18/2015,1.3,1.1347732952517
6/19/2015,1.54,1.34426990360586
6/20/2015,2.89,2.522688325598
6/21/2015,3.84,3.35194573366655
6/22/2015,4.29,3.7447518743306
6/23/2015,2.08,1.81563727240271
6/24/2015,5.48,4.7835058907533
6/25/2015,2.83,2.47031417350946
6/26/2015,1.75,1.52757943591574
6/27/2015,15.98,13.9489825062478
6/28/2015,2.03,1.77199214566226
6/29/2015,5.28,4.6089253837915
6/30/2015,5.01,4.37324169939307
7/1/2015,6.96,6.07540164227062
7/2/2015,2.58,2.25208853980721
7/3/2015,7.52,6.56422706176365
7/4/2015,15.9,13.879150303463
7/5/2015,20.81,18.1651017493752
7/6/2015,26.99,23.5596394144948
7/7/2015,2.86,2.49650124955373
7/8/2015,7.24,6.31981435201714
7/9/2015,3.42,2.98532666904677
7/10/2015,15.1,13.1808282756159
7/11/2015,2.42,2.11242413423777
7/12/2015,2.11,1.84182434844698
7/13/2015,27.06,23.6207425919315
7/14/2015,10.62,9.27022491967155
7/15/2015,9.91,8.65046411995716
7/16/2015,3.56,3.10753302392003
7/17/2015,1.62,1.41410210639057
7/18/2015,18.69,16.3145483755802
7/19/2015,12.18,10.6319528739736
7/20/2015,9.82,8.57190289182435
7/21/2015,9.35,8.16163870046412
7/22/2015,16.7,14.5774723313102
7/23/2015,9.44,8.24019992859693
7/24/2015,16.46,14.3679757229561
7/25/2015,2.89,2.522688325598
